iter	Passed	Remaining
0	1	850
1	3	770
2	4	744
3	6	750
4	7	761
5	9	751
6	10	740
7	12	775
8	14	772
9	17	840
10	18	837
11	20	826
12	21	811
13	23	808
14	24	807
15	26	802
16	28	819
17	30	814
18	31	808
19	33	802
20	34	796
21	36	798
22	38	793
23	39	789
24	41	788
25	43	792
26	45	795
27	47	798
28	48	795
29	50	791
30	52	789
31	53	786
32	55	782
33	56	779
34	58	775
35	59	771
36	61	769
37	63	770
38	64	768
39	66	763
40	67	759
41	69	753
42	70	750
43	72	749
44	73	745
45	75	742
46	76	740
47	78	736
48	79	732
49	80	727
50	82	724
51	83	721
52	85	717
53	86	713
54	88	714
55	89	713
56	91	709
57	92	706
58	94	703
59	95	700
60	96	696
61	98	693
62	99	690
63	101	692
64	103	691
65	104	689
66	106	686
67	107	683
68	108	680
69	110	677
70	111	674
71	112	671
72	114	668
73	115	665
74	117	663
75	118	660
76	119	657
77	121	655
78	122	652
79	123	650
80	125	647
81	126	645
82	127	642
83	129	640
84	130	637
85	131	635
86	133	633
87	135	632
88	136	630
89	137	628
90	139	625
91	140	623
92	142	622
93	143	620
94	145	618
95	146	616
96	148	615
97	149	614
98	151	612
99	152	611
100	154	610
101	156	609
102	157	608
103	159	607
104	161	605
105	162	604
106	164	603
107	166	602
108	167	601
109	169	600
110	171	600
111	173	599
112	174	597
113	175	595
114	177	594
115	178	592
116	180	590
117	182	589
118	183	587
119	184	585
120	186	583
121	187	581
122	189	580
123	190	578
124	192	576
125	193	575
126	195	573
127	196	571
128	198	569
129	199	567
130	201	566
131	202	564
132	203	562
133	205	560
134	206	559
135	208	557
136	209	554
137	210	552
138	212	551
139	213	549
140	215	547
141	216	545
142	217	543
143	219	542
144	220	540
145	222	538
146	223	536
147	224	534
148	226	532
149	227	530
150	228	528
151	230	528
152	232	526
153	233	524
154	234	522
155	236	521
156	237	519
157	239	517
158	240	515
159	242	514
160	243	512
161	244	510
162	246	509
163	247	507
164	249	506
165	250	504
166	252	503
167	253	501
168	255	500
169	256	498
170	258	497
171	260	496
172	261	495
173	263	493
174	265	492
175	266	491
176	268	489
177	269	488
178	271	486
179	272	485
180	274	483
181	275	482
182	277	481
183	279	479
184	280	477
185	282	476
186	283	474
187	285	473
188	286	471
189	287	469
190	289	468
191	290	466
192	292	464
193	293	462
194	295	461
195	296	460
196	298	458
197	299	457
198	301	455
199	302	453
200	304	452
201	305	450
